Licence No.,Premises Name,Premises Address,場所名稱,場所地址,Premises Phone No.,Premises Fax No.,Premises Email Address
H/0145,WELCOME GUEST HOUSE,"Flat A5, 15/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座15字樓A5室,6743 0363,,
H/0147,WELCOME GUEST HOUSE,"Flat A5, 7/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座7字樓A5室,6743 0363,,
H/0149,GARDEN VIEW INTERNATIONAL HOUSE,"G/F & 7/F-20/F, Hong Kong YWCA Headquarters,1 MacDonnell Road,Mid-Levels, Hong Kong.",花園國際賓館,香港半山區麥當勞道1號香港基督教女青年會總部地下& 7-20字樓,2877 3737,2845 6263,gardenview@yhk.com.hk
H/0150,NATHAN HOTEL,"378 Nathan Road,Yau Ma Tei, Kowloon.",彌敦酒店,九龍油麻地彌敦道378號,2388 5141,2780 1643,info@nathanhotel.com
H/0153,PRUDENTIAL HOTEL,"222 Nathan Road,Tsim Sha Tsui, Kowloon.",PRUDENTIAL HOTEL,九龍尖沙咀彌敦道222號,2311 8222,2311 4760,info@prudentialhotel.com
H/0157,NOVOTEL CENTURY HONG KONG,"238 Jaffe Road,Wan Chai, Hong Kong.",香港諾富特世紀酒店,香港灣仔謝斐道238號,2598 8888,2598 8866,h3562@accor.com
H/0166,PARIS MOTEL,"1/F, 81 Chung On Street,Tsuen Wan, New Territories.",巴黎賓館,新界荃灣眾安街81號1字樓,2493 0145,,
H/0176,MANDARIN ORIENTAL HONG KONG,"Mandarin Oriental HK,5 Connaught Road Central,Central, Hong Kong.",香港文華東方酒店,香港中環干諾道中5號香港文華東方酒店,2522 0111,2810 6190,beatlo@mohg.com
H/0181,SHANGHAI HUNG TAK APARTMENT,"1/F, Hung Tak Building,77 Bute Street, Mong Kok, Kowloon.",上海鴻德別墅,九龍旺角弼街77號鴻德大廈1字樓,2394 8890,,
H/0182,EMPEROR GARDEN,"Flat A, 3/F, Bik Lan House,43 Pitt Street,Yau Ma Tei, Kowloon.",御花園閒休,九龍油麻地碧街43號碧蘭大樓3字樓A室,2332 0147,8169 9739,bthotelltd@gmail.com
H/0183,MI CASA,"1/F, Tai Tat Building,26-34 Pilkem Street,Jordan, Kowloon.",天希旅遊,九龍佐敦庇利金街26-34號大達大廈1字樓,2390 3331,,waldw124@yahoo.com
H/0186,THE SALVATION ARMY BOOTH LODGE,"7/F-11/F, Salvation Army Headquarter,11 Wing Sing Lane,Yau Ma Tei, Kowloon.",救世軍卜維廉賓館,九龍油麻地永星里11號救世軍總部7-11字樓,2771 9266,2385 1140,reservations@hkm.salvationarmy.org
H/0187,CARITAS BIANCHI LODGE,"G/F & 10/F-17/F, Caritas Social Centre,4 Cliff Road,Yau Ma Tei, Kowloon.",明愛白英奇賓館,九龍油麻地石壁道4號油麻地明愛服務中心地下、10-17字樓,2388 1111,2770 6669,cbl@chs.caritas.org.hk
H/0200,WELLCOME GUEST HOUSE,"Flat A1, 6/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座6字樓A1室,6743 0363,,
H/0205,RHINE GUEST HOUSE,"Flat A8, 11/F, Block A,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",萊茵迎賓舘,九龍尖沙咀彌敦道40號重慶大廈A座11字樓A8室,2367 1991,,
H/0206,THE MARCO POLO GATEWAY,"Harbour City, 13 Canton Road,Tsim Sha Tsui, Kowloon.",THE MARCO POLO GATEWAY,九龍尖沙咀廣東道13號海港城,2113 0888,2113 0022,
H/0207,THE MARCO POLO HONGKONG HOTEL,"Harbour City,3 Canton Road,Tsim Sha Tsui, Kowloon.",THE MARCO POLO HONGKONG HOTEL,九龍尖沙咀廣東道3號海港城,2113 0088,2113 0011,
H/0209,MEI WAH GUESTHOUSE,"Flat F, 9/F, Kingland Apartments,739 Nathan Road, Mong Kok,Kowloon.",美華賓館,九龍旺角彌敦道739號金輪大廈9字樓F室,2393 6210,2395 4092,meiwah1986@netvigator.com
H/0230,HARBOUR GUEST HOUSE,"Flat B8, 4/F, Block B,Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",海港賓館,九龍尖沙咀彌敦道40號重慶大廈B座4字樓B8室,5100 1127,,
H/0235,CITY GARDEN HOTEL,"9 City Garden Road,North Point, Hong Kong.",城市花園酒店,香港北角城市花園道9號,2887 2888,2887 1111,info@citygarden.com.hk
H/0239,CITY ECONO GUEST HOUSE LIMITED,"Flat A-C, 5/F, Cumberland House,227 Nathan Road, Jordan, Kowloon.",京樺旅舘有限公司,九龍佐敦彌敦道227號金百龍大廈5字樓A-C室,2730 0212,2730 0268,cityecono@yahoo.com
H/0244,THE LUXE MANOR,"39-43A Kimberley Road,Tsim Sha Tsui, Kowloon.",帝樂文娜公館,九龍尖沙咀金巴利道39-43A號,3763 8888,3763 8899,admin@theluxemanor.com
H/0266,CHINA (HK) MOTEL,"1/F, 25-31 Tsat Tsz Mui Road,North Point, Hong Kong.",中港旅店,香港北角七姊妹道25-31號1字樓,2561 4618,,chinahkhotel@gmail.com
H/0277,CHINA (H.K.) INN,"1/F & 2/F, Parkes Mansion,1-11 Parkes Street,Tsim Sha Tsui, Kowloon.",中港旅館,九龍尖沙咀白加士街1-11號康寧大廈1&2字樓,2730 8023,,speedyearn@hotmail.com
H/0278,BEVERLY INN,"4/F, Capital Building,181 Lockhart Road,Wan Chai, Hong Kong.",比華利旅館,香港灣仔駱克道181號京城大廈4字樓,2507 2026,2877 9277,speedyearn@hotmail.com
H/0286,FAIRY VILLA,"Flat C & D, 1/F, Kam Wah Building,10-16 Tung Lok Street, Yuen Long,New Territories.",富麗小築,新界元朗同樂街10-16號金華樓1字樓C&D室,2475 0357,,
H/0297,COSMOS GUESTHOUSE,"Flat B6, 15/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",宇宙賓館,九龍尖沙咀彌敦道40號重慶大廈B座15字樓B6室,,,
H/0299,NEW MARCO POLO,"Flat A & B, 1/F,1 Tak Hing Street,Jordan, Kowloon.",新馬可勃羅別墅,九龍佐敦德興街1號1字樓A&B室,2721 5291,,
H/0301,ORIENT GUEST HOUSE,"Flat A&C, 3/F, Woosung House,127 Woosung Street,Jordan, Kowloon.",東方賓館,九龍佐敦吳松街127號吳淞大樓3字樓A&C室,2771 9046,,melodycat8@gmail.com
H/0302,TUNG FONG INTERNATIONAL CO,"Flat D, 3/F, Woosung House,127 Woosung Street,Jordan, Kowloon.",東方國際公司,九龍佐敦吳松街127號吳淞大樓3字樓D室,2771 9046,2771 9046,
H/0306,HOLIDAY GUEST HOUSE,"Flat D7 & E1, 6/F, Block D & E,Chungking Mansion, 40 Nathan Road,Tsim Sha Tsui, Kowloon.",HOLIDAY GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈D座6字樓D7室& E座6字樓E1室,2316 7152,2724 5071,
H/0307,KINNING COMPANY,"Flat 820, 8/F, Block B, Bell House,525-543A Nathan Road, Yau Ma Tei, Kowloon.",建寧公司,九龍油麻地彌敦道525-543A號寶寧大廈B座8字樓820室,2780 7081,,bernardtai@gmail.com
H/0324,LAI YUEN VILLA,"Block C, D & G, 1/F, Ng Po House,103-109 Sai Yeung Choi Street South,Mong Kok, Kowloon.",麗苑賓館,九龍旺角西洋菜南街103-109號五寶大廈1字樓C、D、G座,,,
H/0334,WAH DO VILLA,"1/F,54-56 Un Chau Street,Sham Shui Po, Kowloon.",華都別墅,九龍深水埗元洲街54-56號1字樓,2725 1863,,
H/0338,PARK HOTEL,"61-65 Chatham Road South,Tsim Sha Tsui, Kowloon.",百樂酒店,九龍尖沙咀漆咸道南61-65號,2731 2100,2721 8505,info.phhk@parkhotelgroup.com
H/0349,ELEGANCE INN,"Flat 5, Block B, 2/F, Yin Hing Building,34-58 Yin Hing Street,San Po Kong, Kowloon.",高雅賓館,九龍新蒲崗衍慶街34-58號衍慶大廈B座2字樓5室,2320 2506,,
H/0352,YING BUN VILLA,"2/F, 137 Sai Yee Street,Mong Kok, Kowloon.",迎賓賓館,九龍旺角洗衣街137號2字樓,2309 0206,,
H/0358,SOUTH PACIFIC HOTEL,"23 Morrison Hill Road,Wan Chai, Hong Kong.",南洋酒店,香港灣仔摩理臣山道23號,2572 3838,2893 7773,info@southpacifichotel.com.hk
H/0370,GEE PAK VILLA,"Flat 201, 1/F, Block A, I-Feng Mansions,237 To Kwa Wan Road,To Kwa Wan, Kowloon.",芝栢別墅,九龍土瓜灣土瓜灣道237號益豐大廈1字樓A座201室,2333 9131,2393 9303,josephine823@icloud.com
H/0374,THE ROYAL GARDEN,"69 Mody Road,Tsim Sha Tsui East, Kowloon.",帝苑酒店,九龍尖沙咀東麼地道69號,2721 5215,2368 3598,htlinfo@rghk.com.hk
H/0377,KAM MUN GUEST HOUSE,"Flat 2101, 21/F, Sun Hing Building,607 Nathan Road, Mong Kok, Kowloon.",金門賓館,九龍旺角彌敦道607號新興大廈21字樓2101室,2388 3686,,luyaxinghk@gmail.com
H/0382,WELLCOME GUEST HOUSE,"Flat A2, 6/F, Block A, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",惠康賓館,九龍尖沙咀彌敦道40號重慶大廈A座6字樓A2室,6743 0363,,
H/0397,WAH MEI APARTMENT,"1/F, 230 Sha Tsui Road,Tsuen Wan, New Territories.",華美公寓,新界荃灣沙咀道230號1字樓,2492 2797,,
H/0399,THE MARCO POLO PRINCE,"23 Canton Road,Tsim Sha Tsui,Kowloon.",香港太子酒店,九龍尖沙咀廣東道23號,2113 1888,2113 0066,
H/0424,PARK EXCELLENT VILLA,"1/F, Po Hang Building,2-8 Dundas Street,Mong Kok, Kowloon.",百佳賓館,九龍旺角登打士街2-8號寶亨大廈1字樓,2770 1028,2381 0870,conceptd2002@yahoo.com.hk
H/0428,KAM TAI INN,"1/F, Prince House,48 Nullah Road,Mong Kok, Kowloon.",金泰賓館,九龍旺角水渠道48號皇太子大廈1字樓,2380 8343,,
H/0432,"THE PARK LANE HONG KONG, AUTOGRAPH COLLECTION","G/F, 6/F-26/F & 28/F, The Park Lane,310 Gloucester Road,Causeway Bay, Hong Kong.",柏寧酒店,香港銅鑼灣告士打道310號地下、6-26 & 28字樓,2293 8888,2576 7853,info@parklane.com.hk
H/0441,TO YUEN GUEST HOUSE,"Flat 2A, 1/F, 362 Prince Edward Road,J/O Fuk Lo Tsuen Road,Kowloon City, Kowloon.",桃園賓館,九龍九龍城太子道362號福佬村道交界1字樓2A室,2716 7074,,
H/0445,DRAGON HOSTEL,"Flat 707, 7/F, Sincere House,83 Argyle Street,Mong Kok, Kowloon.",龍群賓館,九龍旺角亞皆老街83號先施大廈7字樓707室,2395 0577,,
H/0448,STANFORD HOTEL,"118 Soy Street,Mong Kok, Kowloon.",仕德福酒店,九龍旺角豉油街118號,2781 1881,2388 3733,stanford@stanfordhotel.com
H/0449,AH SHAN HOSTEL LIMITED,"Flat 1406, 14/F, Sincere House,83 Argyle Street, Mong Kok, Kowloon.",阿山龍祥旅館有限公司,九龍旺角亞皆老街83號先施大廈14字樓1406室,9533 6817,,1406@ahshanhostel.com
H/0469,THE WHARNEY GUANG DONG HOTEL HONG KONG,"57-73 Lockhart Road,Wan Chai, Hong Kong.",香港華美粵海酒店,香港灣仔駱克道57-73號,2861 1000,2865 1010,eo@wharney.com
H/0473,LAI HO VILLA,"9/F, 37 Dundas Street,Mong Kok, Kowloon.",麗豪別墅,九龍旺角登打士街37號9字樓,2384 2113,,
H/0475,NEW HARBOUR GUEST HOUSE,"Flat C1, 9/F, Block C, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新港旅舍,九龍尖沙咀彌敦道40號重慶大廈C座9字樓C1室,5100 1127,,greatest.timehk@gmail.com
H/0489,HONG KONG GUEST HOUSE,"Flat B1, 12/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",香港賓館,九龍尖沙咀彌敦道40號重慶大廈B座12字樓B1室,3421 1640,2724 5071,
H/0490,HONG KONG YING GUEST HOUSE,"Flat B5, 11/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",香港(英)招待所,九龍尖沙咀彌敦道40號重慶大廈B座11字樓B5室,2723 7842,2724 5071,grgkhiman@gmail.com
H/0494,"HONG KONG ""SUN"" GUEST HOUSE","Flat B3, 12/F, Block B, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.","HONG KONG ""SUN"" GUEST HOUSE",九龍尖沙咀彌敦道40號重慶大廈B座12字樓B3室,3421 1640,2724 5071,
H/0495,"ISLAND SHANGRI-LA, HONG KONG","Pacific Place,88 Queensway,Hong Kong.",港島香格里拉,香港金鐘道88號太古廣場,2877 3838,2845 7015,hongkong@shangri-la.com
H/0498,SOUTH & NORTH HOUSE,"Flat D, E & F, 8/F, Pollock Building,9-10 Tak Hing Street, Jordan, Kowloon.",南北賓館,"九龍佐敦德興街9-10號寶來大廈8字樓D,E&F室",2369 0869,,
H/0507,"KOWLOON SHANGRI-LA, HONG KONG","64 Mody Road,Tsim Sha Tsui East, Kowloon.",九龍香格里拉,九龍尖沙咀東麼地道64號,2721 2111,2722 6881,ksl@shangri-la.com
H/0522,CHUN SHAN INN,"Flat G, 9/F, Kingland Apartments,739 Nathan Road, Mong Kok, Kowloon.",中山賓館,九龍旺角彌敦道739號金輪大廈9字樓G室,2380 7868,2390 4738,
H/0536,HOLY HOLIES,"Flat A, B&C, 5/F, Pollock Building,9-10 Tak Hing Street,Jordan, Kowloon.",聖地,九龍佐敦德興街9-10號寶來大廈5字樓A、B及C室,6293 8880,,admin@sunnydayhotels.com
H/0541,BIG BEAR INN,"4/F, Hang Lung Mansion,578 Nathan Road,Yau Ma Tei, Kowloon.",大熊旅舍,九龍油麻地彌敦道578號恒隆大廈4字樓,6253 5600,,
H/0543,STAGE WELL,"Portion of G/F, 4/F to 15/F, Roof and Top Roof,173-179 Woosung Street,Jordan, Kowloon.",登瑞,"九龍佐敦吳松街173-179號地下(部分), 4字樓至15字樓, 天台及頂層天台",3469 1080,2973 0911,
H/0555,EATON HK,"B3/F-B4/F & UG/F-R/F,380 Nathan Road,Yau Ma Tei, Kowloon.",香港逸東酒店,九龍油麻地彌敦道380號B3-B4字樓 & 地下高層-頂樓,2782 1818,2782 5563,eatonhk@eatonworkshop.com
H/0556,TRAVELODGE KOWLOON,"G/F, 2/F-15/F, 23 Saigon Street,Yau Ma Tei, Kowloon.",彩鴻酒店,"九龍油麻地西貢街23號地下, 2字樓-15字樓",3199 6199,3199 6188,enquiry.kowloon@travelodgehotels.asia
H/0557,ROYAL PARK HOTEL,"8 Pak Hok Ting Street,Sha Tin, New Territories.",帝都酒店,新界沙田白鶴汀街8號,2601 2111,2601 3666,inquiry@royalpark.com.hk
H/0559,GLOUCESTER LUK KWOK HONG KONG,"Basement, G/F & 19/F-29/F,72 Gloucester Road,Wan Chai, Hong Kong.",六國酒店,香港灣仔告士打道72號地庫、地下&19-29字樓,2866 2166,2866 2622,info@gloucesterlukkwok.com.hk
H/0569,WINDSOR PALACE MOTEL,"2/F, Buckingham Building,317-321 Nathan Road,Jordan, Kowloon.",温莎皇宮,九龍佐敦彌敦道317-321號金漢大廈2字樓,2782 0733,,
H/0570,PALACE MOTEL,"2/F (portion), Buckingham Building,317-321 Nathan Road, Jordan, Kowloon.",皇宮溫莎,九龍佐敦彌敦道317-321號金漢大廈2字樓(部分),2782 0733,,
H/0571,TOM'S GUEST HOUSE,"Flat B7, Block B, & Flat C1, Block C,16/F, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",TOM'S GUEST HOUSE,九龍尖沙咀彌敦道40號重慶大廈C座16字樓C1室& B座16字樓B7室,2739 4441,2739 4442,tomasiainnhk@gmail.com
H/0574,FAMOUS GUEST HOUSE,"Flat A, 2/F, National Court,242 Nathan Road, Jordan, Kowloon.",安捷旅舍,九龍佐敦彌敦道242號立信大廈2字樓A室,2721 8023,,
H/0578,NEW GRAND GUEST HOUSE,"Flat C5, 13/F, Block C, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",新格蘭賓館,九龍尖沙咀彌敦道40號重慶大廈C座13字樓C5室,2723 1312,,osakanewgrand@yahoo.com.hk
H/0579,OSAKA GUEST HOUSE,"Flat C3, 13/F, Block C, Chungking Mansion,40 Nathan Road, Tsim Sha Tsui, Kowloon.",大阪賓館,九龍尖沙咀彌敦道40號重慶大廈C座13字樓C3室,2723 1312,,osakanewgrand@yahoo.com.hk
H/0586,REGENT HONG KONG,"18 Salisbury Road,Tsim Sha Tsui,Kowloon.",香港麗晶酒店,九龍尖沙咀梳士巴利道18號,2313 2288,2313 2033,james.liu1@ihg.com
H/0623,KUM LOONG GUEST HOUSE,"Flat A & B Portion, 4/F, May Ming Mansion,312 Nathan Road, Jordan, Kowloon.",鑫鑨賓館,九龍佐敦彌敦道312號美明大廈4字樓A及B室部份,2970 1777,2970 0808,
H/0673,FIRST CLASS GUEST HOUSE,"Flat D1, 16/F, Block D, Mirador Mansion,58 Nathan Road, Tsim Sha Tsui, Kowloon.",大一賓館,九龍尖沙咀彌敦道58號美麗都大廈D座16字樓D1室,9630 5533,,
H/0677,GINZA VILLA,"Flat G & H, 1/F, Windsor Mansion,29-31 Chatham Road South,Tsim Sha Tsui, Kowloon.",GINZA VILLA,九龍尖沙咀漆咸道南29-31號溫莎大廈1字樓G&H室,2369 9103,,
H/0692,豪景賓館,"Flat A & B, 1/F,45 Fuk Wing Street,Sham Shui Po, Kowloon.",豪景賓館,九龍深水埗福榮街45號1字樓A及B室,9057 7062,,
H/0696,THE CHARTERHOUSE CAUSEWAY BAY,"209-219 Wan Chai Road,Wan Chai, Hong Kong.",銅鑼灣利景酒店,香港灣仔灣仔道209-219 號,2833 5566,2833 5888,info@charterhouse.com
H/0699,REGAL HONG KONG HOTEL,"88 Yee Wo Street,Causeway Bay,Hong Kong.",富豪香港酒店,香港銅鑼灣怡和街88號,2890 6633,2881 0777,rhk.info@regalhotel.com
